id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
3843,Vân Nguyễn,4.430.000 - 6.110.000 VND,Bắc Ninh,Lễ tân 24 giờ,12:00 - 18:00,11:00 - 12:00,Khu vực bãi tắm riêng,Khu vực cho phép hút thuốc
3844,Kim Văn Trần,5.250.000 - 6.390.000 VND,Yên Bái,"Thang máy, Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày",14:00 - 15:00,10:00 - 12:00,"Dịch vụ phòng, Sân thượng / hiên",
3845,Hưng Lê,2.650.000 - 4.350.000 VND,Quảng Nam,Máy pha trà/cà phê,12:30 - 16:00,11:00 - 12:00,"Trung tâm thể dục, Nôi/cũi theo yêu cầu, Quầy bar",
3846,Hà Lê,5.610.000 - 6.610.000 VND,Nam Định,"Hồ bơi ngoài trời, Nhà hàng, Trung tâm thể dục, Dọn phòng hàng ngày",13:30 - 15:00,12:00 - 12:00,"Điều hòa nhiệt độ, Quầy bar, Hồ bơi ngoài trời, Dọn phòng hàng ngày",
3847,Huy Phú Hoàng,2.990.000 - 3.660.000 VND,Trà Vinh,"Chỗ đỗ xe, Sân thượng / hiên, Nôi/cũi theo yêu cầu",13:30 - 17:00,9:00 - 12:00,"Chỗ đỗ xe, Bữa sáng, Trung tâm thể dục, Hồ bơi trong nhà",Nôi em bé
3848,An Hải Lê,1.160.000 - 2.230.000 VND,Bình Phước,"Hồ bơi trong nhà, Chỗ đỗ xe, Khu vực bãi tắm riêng, Thang máy",15:30 - 14:00,11:30 - 12:00,"Chỗ đỗ xe, Dịch vụ phòng, Phòng gia đình",
3849,Khoa Mai Dương,10.900.000 - 12.660.000 VND,Điện Biên,"Phòng không hút thuốc, Lễ tân 24 giờ",15:00 - 16:00,11:00 - 12:00,Trung tâm thể dục,Phòng không cửa sổ
3850,Chi Bùi,1.680.000 - 2.050.000 VND,Bình Định,Giặt ủi,11:30 - 18:00,9:00 - 12:00,"Phòng gia đình, Hồ bơi ngoài trời, Chỗ đỗ xe",Phòng yên tĩnh
3851,Thành Phạm,6.690.000 - 7.440.000 VND,Thái Nguyên,Tiện nghi BBQ,14:30 - 14:00,10:30 - 12:00,Bữa sáng,Giáp biển
3852,Linh Lê,10.250.000 - 11.470.000 VND,Hà Nội,Sân thượng / hiên,11:00 - 14:00,10:00 - 12:00,"Bữa sáng, Sân vườn, Dịch vụ phòng, Hồ bơi trong nhà",Giáp biển
3853,Hà Lê,10.480.000 - 12.400.000 VND,Đồng Nai,"Giặt ủi, WiFi miễn phí",14:30 - 17:00,11:30 - 12:00,"Quầy bar, Dịch vụ phòng, Phòng gia đình",Nôi em bé
3854,Nhật Thế Trần,2.920.000 - 3.480.000 VND,Đà Nẵng,"Xe đưa đón sân bay, Dịch vụ phòng, Dọn phòng hàng ngày",14:30 - 14:00,9:30 - 12:00,"Máy pha trà/cà phê, Giặt ủi, Phòng gia đình",View đẹp
3855,Mai Mai,15.650.000 - 16.530.000 VND,Nam Định,"Máy pha trà/cà phê, Nhà hàng, Xe đưa đón sân bay, Hồ bơi ngoài trời",11:00 - 18:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu, Sân thượng / hiên",Giường phụ
3856,Trung Văn Nguyễn,3.490.000 - 5.260.000 VND,Cần Thơ,Sân vườn,15:00 - 15:00,9:00 - 12:00,"Dọn phòng hàng ngày, Bữa sáng, Phòng không hút thuốc",Phòng yên tĩnh
3857,Ánh Dương,9.410.000 - 10.690.000 VND,Thái Nguyên,"Hồ bơi trong nhà, Xe đưa đón sân bay",13:30 - 18:00,12:30 - 12:00,"Phòng gia đình, Điều hòa nhiệt độ, Dịch vụ phòng, Tiện nghi cho khách khuyết tật",Không cần dọn phòng
3858,Phương Mai,16.440.000 - 17.790.000 VND,Thái Nguyên,"Hồ bơi ngoài trời, Điều hòa nhiệt độ, Phòng không hút thuốc, Lễ tân 24 giờ",12:30 - 14:00,12:30 - 12:00,"Sân thượng / hiên, Khu vực bãi tắm riêng, WiFi miễn phí",Giường phụ
3859,Chi Vũ,5.770.000 - 6.870.000 VND,Lai Châu,"Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu, Hồ bơi ngoài trời",11:00 - 17:00,9:00 - 12:00,"Máy pha trà/cà phê, Phòng không hút thuốc, Tiện nghi cho khách khuyết tật",Giáp biển
3860,Lâm Dương,2.810.000 - 3.780.000 VND,Cao Bằng,"Tiện nghi BBQ, Sân vườn",13:00 - 14:00,12:00 - 12:00,"Chỗ đỗ xe, Hồ bơi trong nhà",
3861,Khoa Phú Bùi,15.320.000 - 15.340.000 VND,Cà Mau,"Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ",14:00 - 17:00,9:30 - 12:00,"WiFi miễn phí, Khu vực bãi tắm riêng",Phòng không cửa sổ
3862,Tùng Vũ,6.340.000 - 7.800.000 VND,Vĩnh Phúc,"Lễ tân 24 giờ, Chỗ đỗ xe, Quầy bar, Sân thượng / hiên",13:00 - 18:00,9:30 - 12:00,"Dịch vụ phòng, Khu vực bãi tắm riêng, Phòng không hút thuốc",Nôi em bé
3863,An Trần,7.120.000 - 8.180.000 VND,Bình Phước,"Trung tâm thể dục, Thang máy",11:00 - 13:00,9:00 - 12:00,"Bữa sáng, Phòng không hút thuốc, Lễ tân 24 giờ, Máy pha trà/cà phê",Chỗ đậu xe riêng
3864,Nhật Vũ,2.660.000 - 2.810.000 VND,Hà Nam,"Nhà hàng, Khu vực bãi tắm riêng",12:00 - 17:00,10:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Lễ tân 24 giờ, Nôi/cũi theo yêu cầu, Trung tâm thể dục",View đẹp
3865,Nam Mai,8.740.000 - 9.730.000 VND,Bắc Kạn,"Điều hòa nhiệt độ, Bữa sáng, Phòng gia đình, Hồ bơi trong nhà",14:00 - 15:00,12:30 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,
3866,Ánh Trần,10.020.000 - 10.520.000 VND,Lào Cai,Chỗ đỗ xe,14:30 - 13:00,12:30 - 12:00,"Tiện nghi BBQ, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Lễ tân 24 giờ",
3867,Mai Bùi,4.080.000 - 4.400.000 VND,Hậu Giang,Dịch vụ phòng,13:00 - 14:00,11:30 - 12:00,Chỗ đỗ xe,Nôi em bé
3868,Hải Mai,2.640.000 - 4.540.000 VND,Hưng Yên,Tiện nghi BBQ,13:00 - 15:00,9:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar, Khu vực bãi tắm riêng",View đẹp
3869,Xuân Hoàng,7.860.000 - 9.240.000 VND,Hải Phòng,"Dọn phòng hàng ngày, Chỗ đỗ xe, Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar",13:30 - 17:00,9:30 - 12:00,"Tiện nghi BBQ, Nôi/cũi theo yêu cầu",Phòng yên tĩnh
3870,An Bùi,150.000 - 190.000 VND,Thái Nguyên,Hồ bơi ngoài trời,14:30 - 14:00,12:30 - 12:00,"Khu vực bãi tắm riêng, Điều hòa nhiệt độ, Bữa sáng, Trung tâm Spa & chăm sóc sức khoẻ",Khu vực cho phép hút thuốc
3871,Dương Hoàng,16.670.000 - 17.130.000 VND,Cao Bằng,"Nhà hàng, Thang máy",15:00 - 14:00,12:30 - 12:00,"Quầy bar, Khu vực bãi tắm riêng",
3872,Lâm Lê,4.330.000 - 6.180.000 VND,Đắk Lắk,"Thang máy, Lễ tân 24 giờ, Điều hòa nhiệt độ",13:30 - 13:00,12:30 - 12:00,"Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày, Máy pha trà/cà phê, WiFi miễn phí",Không cần dọn phòng
3873,Quang Bùi,1.650.000 - 1.760.000 VND,Quảng Bình,Lễ tân 24 giờ,11:30 - 17:00,9:00 - 12:00,"Giặt ủi, Quầy bar, Khu vực bãi tắm riêng, Xe đưa đón sân bay",Nôi em bé
3874,Vân Mai,12.810.000 - 13.370.000 VND,Ninh Bình,"Hồ bơi trong nhà, Nôi/cũi theo yêu cầu",15:00 - 15:00,9:00 - 12:00,"Trung tâm thể dục, Quầy bar, Phòng không hút thuốc, Chỗ đỗ xe",Nôi em bé
3875,Hồng Mai,1.810.000 - 2.630.000 VND,Yên Bái,"Quầy bar, Tiện nghi cho khách khuyết tật, Phòng không hút thuốc",15:00 - 18:00,9:30 - 12:00,"Sân vườn, Trung tâm Spa & chăm sóc sức khoẻ, Thang máy",Hướng biển
3876,Hạnh Bảo Lê,14.170.000 - 14.720.000 VND,Bình Dương,"Khu vực bãi tắm riêng, Máy pha trà/cà phê",12:00 - 16:00,9:30 - 12:00,"Xe đưa đón sân bay, Chỗ đỗ xe, Máy pha trà/cà phê",Tầng cao
3877,Quang Quang Lê,380.000 - 650.000 VND,Phú Thọ,"Quầy bar, Máy pha trà/cà phê",11:00 - 17:00,11:30 - 12:00,Máy pha trà/cà phê,Chỗ đậu xe riêng
3878,Thành Phạm,12.660.000 - 13.240.000 VND,Bình Thuận,"Khu vực bãi tắm riêng, Xe đưa đón sân bay, Thang máy, Dọn phòng hàng ngày",11:00 - 16:00,12:00 - 12:00,"Sân vườn, Phòng không hút thuốc",
3879,Dũng Dương,1.010.000 - 2.100.000 VND,Hà Nội,"Chỗ đỗ xe, Lễ tân 24 giờ",13:30 - 18:00,12:00 - 12:00,"Sân vườn, Trung tâm thể dục",
3880,Hạnh Hoàng,12.890.000 - 12.990.000 VND,Lâm Đồng,"Chỗ đỗ xe, Giặt ủi",14:30 - 15:00,12:00 - 12:00,"Tiện nghi BBQ, Bữa sáng, Hồ bơi trong nhà, Điều hòa nhiệt độ",Giường phụ
3881,Phương Bùi,16.850.000 - 17.850.000 VND,An Giang,"Chỗ đỗ xe, Điều hòa nhiệt độ, Phòng gia đình",15:00 - 17:00,10:00 - 12:00,Sân vườn,Không cần dọn phòng
3882,Anh Vũ,6.280.000 - 6.850.000 VND,Hà Nội,"Bữa sáng, Trung tâm thể dục",14:30 - 14:00,10:30 - 12:00,"Điều hòa nhiệt độ, Xe đưa đón sân bay",Chỗ đậu xe riêng
3883,Lan Dương,10.320.000 - 11.940.000 VND,Long An,"Trung tâm thể dục, Điều hòa nhiệt độ, Nôi/cũi theo yêu cầu, Phòng không hút thuốc",14:00 - 18:00,12:30 - 12:00,"Máy pha trà/cà phê, WiFi miễn phí, Hồ bơi ngoài trời, Xe đưa đón sân bay",Phòng không cửa sổ
3884,Trọng Hoàng,5.670.000 - 7.190.000 VND,Vĩnh Phúc,"Xe đưa đón sân bay, Phòng không hút thuốc, Giặt ủi, Bữa sáng",14:00 - 15:00,11:00 - 12:00,Bữa sáng,
3885,Thành Hoàng,17.110.000 - 18.010.000 VND,Lâm Đồng,Phòng không hút thuốc,15:30 - 15:00,12:00 - 12:00,"Khu vực bãi tắm riêng, Hồ bơi trong nhà, Sân thượng / hiên",
3886,Khoa Mai Hoàng,17.590.000 - 17.700.000 VND,Kon Tum,"Dịch vụ phòng, Hồ bơi trong nhà, Máy pha trà/cà phê",15:00 - 13:00,10:30 - 12:00,"Dọn phòng hàng ngày, Nôi/cũi theo yêu cầu",View đẹp
3887,Mai Vũ,1.010.000 - 2.290.000 VND,Long An,"Nhà hàng, Nôi/cũi theo yêu cầu",11:00 - 16:00,12:00 - 12:00,"Dọn phòng hàng ngày, Phòng không hút thuốc, Điều hòa nhiệt độ, Bữa sáng",
3888,Huy Lê,940.000 - 1.390.000 VND,Bắc Giang,"Dịch vụ phòng, WiFi miễn phí, Phòng gia đình, Sân vườn",13:30 - 16:00,11:00 - 12:00,"Quầy bar, Sân thượng / hiên, Phòng gia đình, Nôi/cũi theo yêu cầu",
3889,Bảo Lê,10.870.000 - 10.890.000 VND,Bà Rịa - Vũng Tàu,Bữa sáng,11:00 - 14:00,10:00 - 12:00,"Khu vực bãi tắm riêng, Điều hòa nhiệt độ",
3890,Hạnh Bảo Mai,11.260.000 - 12.770.000 VND,Bà Rịa - Vũng Tàu,"Bữa sáng, Phòng gia đình, Khu vực bãi tắm riêng",12:00 - 13:00,11:00 - 12:00,"Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ",Chỗ đậu xe riêng
3891,Nhật Phạm,5.500.000 - 6.240.000 VND,Đắk Lắk,"Tiện nghi BBQ, WiFi miễn phí, Hồ bơi trong nhà, Thang máy",14:00 - 17:00,11:30 - 12:00,Tiện nghi cho khách khuyết tật,Phòng không cửa sổ
3892,Nhiên Phạm,11.210.000 - 13.120.000 VND,Thái Nguyên,"Hồ bơi ngoài trời, Chỗ đỗ xe",13:30 - 15:00,12:00 - 12:00,Hồ bơi trong nhà,Hướng biển
3893,Khoa Xuân Lê,12.400.000 - 12.880.000 VND,Quảng Bình,Nôi/cũi theo yêu cầu,12:00 - 17:00,10:30 - 12:00,"WiFi miễn phí, Điều hòa nhiệt độ, Trung tâm thể dục",Phòng không cửa sổ
3894,Trọng Bùi,16.500.000 - 18.500.000 VND,Long An,"Máy pha trà/cà phê, Phòng gia đình, Nhà hàng, Chỗ đỗ xe",14:30 - 18:00,9:30 - 12:00,"Khu vực bãi tắm riêng, Tiện nghi BBQ",Giáp biển
3895,Vi Nguyễn,13.850.000 - 13.920.000 VND,Phú Yên,"Tiện nghi BBQ, Chỗ đỗ xe, Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày",13:30 - 15:00,12:30 - 12:00,"Sân thượng / hiên, Dọn phòng hàng ngày, Sân vườn",Nôi em bé
3896,Hạnh Tấn Trần,14.210.000 - 15.920.000 VND,Sơn La,Lễ tân 24 giờ,14:30 - 13:00,12:00 - 12:00,"Quầy bar, Khu vực bãi tắm riêng",
3897,Yến Vũ,9.770.000 - 10.380.000 VND,Thái Nguyên,"Trung tâm thể dục, Dịch vụ phòng",13:30 - 15:00,9:00 - 12:00,"Sân vườn, Máy pha trà/cà phê, Nôi/cũi theo yêu cầu, Chỗ đỗ xe",Giáp biển
3898,Lan Hoàng,1.110.000 - 2.260.000 VND,Đắk Lắk,"Xe đưa đón sân bay, Chỗ đỗ xe, Bữa sáng",13:00 - 13:00,12:00 - 12:00,"Phòng gia đình, Dịch vụ phòng",
3899,Kim Hoàng,13.120.000 - 13.980.000 VND,Kon Tum,"Phòng không hút thuốc, Máy pha trà/cà phê, Trung tâm thể dục, Giặt ủi",15:00 - 14:00,10:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Sân vườn, Chỗ đỗ xe",Nôi em bé
3900,Hạnh Hải Đặng,1.170.000 - 2.490.000 VND,Lai Châu,"Sân vườn, Phòng không hút thuốc",11:30 - 17:00,9:00 - 12:00,"Nhà hàng, Hồ bơi ngoài trời, Phòng không hút thuốc, Quầy bar",
3901,Huy Hoàng,15.220.000 - 15.950.000 VND,Đà Nẵng,"Hồ bơi trong nhà, Sân thượng / hiên, Phòng gia đình",15:30 - 15:00,12:00 - 12:00,"Máy pha trà/cà phê, Khu vực bãi tắm riêng, Chỗ đỗ xe",Hướng biển
3902,Kim Nguyễn,14.450.000 - 15.580.000 VND,Quảng Trị,"Hồ bơi trong nhà, Sân thượng / hiên",15:30 - 17:00,12:00 - 12:00,"Hồ bơi ngoài trời, WiFi miễn phí, Tiện nghi cho khách khuyết tật",Phòng yên tĩnh
3903,Bảo Vũ,12.680.000 - 13.330.000 VND,Bến Tre,"Nhà hàng, Quầy bar, Tiện nghi BBQ, Trung tâm Spa & chăm sóc sức khoẻ",14:30 - 14:00,11:00 - 12:00,"Giặt ủi, Máy pha trà/cà phê, Phòng không hút thuốc, Sân vườn",
3904,Nhật Xuân Vũ,14.650.000 - 15.290.000 VND,Bình Phước,Tiện nghi cho khách khuyết tật,14:30 - 16:00,9:00 - 12:00,Nôi/cũi theo yêu cầu,Giáp biển
3905,Hà Đặng,2.320.000 - 2.340.000 VND,Điện Biên,"Tiện nghi BBQ, Sân thượng / hiên, Trung tâm thể dục",15:00 - 18:00,9:30 - 12:00,Nôi/cũi theo yêu cầu,Khu vực cho phép hút thuốc
3906,Phạm,13.730.000 - 13.790.000 VND,Bình Phước,"Phòng gia đình, Dịch vụ phòng",11:30 - 13:00,11:00 - 12:00,"Hồ bơi trong nhà, Chỗ đỗ xe",
3907,Hạnh Phạm,13.030.000 - 13.270.000 VND,Khánh Hòa,"Hồ bơi trong nhà, Phòng gia đình",14:30 - 13:00,11:30 - 12:00,"Tiện nghi cho khách khuyết tật, Hồ bơi trong nhà, Thang máy",
3908,Tùng Nguyễn,3.800.000 - 4.440.000 VND,Thừa Thiên Huế,"Thang máy, Tiện nghi cho khách khuyết tật",15:00 - 16:00,11:00 - 12:00,"Quầy bar, WiFi miễn phí, Chỗ đỗ xe",
3909,Hạnh Trí Nguyễn,14.180.000 - 14.690.000 VND,Hà Tĩnh,"Dịch vụ phòng, Nôi/cũi theo yêu cầu",14:30 - 17:00,12:30 - 12:00,Lễ tân 24 giờ,View đẹp
3910,Kim Dương,5.410.000 - 5.950.000 VND,Gia Lai,"Thang máy, Quầy bar",11:00 - 17:00,9:30 - 12:00,"Dịch vụ phòng, Chỗ đỗ xe, Xe đưa đón sân bay",Không cần dọn phòng
3911,Quang Bùi,13.380.000 - 14.500.000 VND,Nghệ An,"Quầy bar, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Sân vườn",14:00 - 14:00,11:00 - 12:00,"Thang máy, Nhà hàng, Xe đưa đón sân bay",View đẹp
3912,Hà Trần,11.260.000 - 12.370.000 VND,Điện Biên,Phòng không hút thuốc,13:00 - 15:00,9:00 - 12:00,"Hồ bơi ngoài trời, Tiện nghi cho khách khuyết tật, Khu vực bãi tắm riêng",Khu vực cho phép hút thuốc
3913,Hạnh Đức Phạm,5.720.000 - 5.830.000 VND,Vĩnh Long,"Hồ bơi ngoài trời, Sân thượng / hiên, Nhà hàng, Tiện nghi BBQ",13:30 - 15:00,9:00 - 12:00,"Dọn phòng hàng ngày, Phòng gia đình",
3914,Quang Đặng,6.170.000 - 7.760.000 VND,Ninh Thuận,Giặt ủi,14:30 - 14:00,11:30 - 12:00,Khu vực bãi tắm riêng,Hướng biển
3915,Kim Thế Vũ,11.840.000 - 12.250.000 VND,Ninh Thuận,Tiện nghi cho khách khuyết tật,11:00 - 16:00,10:00 - 12:00,"Phòng không hút thuốc, Dịch vụ phòng",Không cần dọn phòng
3916,Nhật Bùi,2.650.000 - 3.470.000 VND,Long An,"Nhà hàng, Máy pha trà/cà phê",14:30 - 16:00,9:00 - 12:00,"Tiện nghi BBQ, Hồ bơi trong nhà",Hướng biển
3917,Hải Hoàng Dương,2.910.000 - 4.220.000 VND,Sóc Trăng,"Bữa sáng, WiFi miễn phí",12:00 - 17:00,9:00 - 12:00,"Xe đưa đón sân bay, Tiện nghi cho khách khuyết tật",
3918,Chi Phạm,10.160.000 - 11.630.000 VND,Bắc Ninh,"Dọn phòng hàng ngày, Chỗ đỗ xe, Điều hòa nhiệt độ, Phòng không hút thuốc",15:30 - 13:00,12:00 - 12:00,Sân vườn,
3919,Thành Nguyễn,17.800.000 - 18.190.000 VND,Đắk Lắk,"Tiện nghi BBQ, Thang máy",15:00 - 14:00,10:30 - 12:00,"Phòng gia đình, Tiện nghi cho khách khuyết tật",
3920,Nhật Phạm,8.890.000 - 9.320.000 VND,Quảng Nam,"Khu vực bãi tắm riêng, Nhà hàng, Tiện nghi BBQ, Hồ bơi trong nhà",13:00 - 15:00,9:30 - 12:00,Xe đưa đón sân bay,Phòng không cửa sổ
3921,Nhiên Mai Bảo Trần,10.210.000 - 10.450.000 VND,Quảng Trị,"Máy pha trà/cà phê, Giặt ủi, Phòng không hút thuốc, Sân thượng / hiên",15:00 - 13:00,10:30 - 12:00,"Chỗ đỗ xe, Máy pha trà/cà phê, Giặt ủi",Hướng biển
3922,An Hữu Trần,8.240.000 - 8.740.000 VND,Hà Tĩnh,"Sân thượng / hiên, Sân vườn",11:00 - 17:00,12:30 - 12:00,"Dịch vụ phòng, Nhà hàng, Tiện nghi BBQ, Giặt ủi",
3923,Duyên Đặng,2.890.000 - 3.250.000 VND,Đắk Nông,"WiFi miễn phí, Hồ bơi ngoài trời",14:00 - 16:00,9:00 - 12:00,"Xe đưa đón sân bay, Điều hòa nhiệt độ, Hồ bơi trong nhà",Chỗ đậu xe riêng
3924,Mai Phạm,10.720.000 - 12.720.000 VND,Kiên Giang,"Sân vườn, Tiện nghi cho khách khuyết tật, Sân thượng / hiên",11:30 - 15:00,12:30 - 12:00,Dọn phòng hàng ngày,Nôi em bé
3925,Vân Bùi,5.640.000 - 6.330.000 VND,Bắc Kạn,Tiện nghi cho khách khuyết tật,14:30 - 18:00,9:30 - 12:00,"Giặt ủi, Trung tâm Spa & chăm sóc sức khoẻ, Tiện nghi cho khách khuyết tật",
3926,Trọng Văn Lê,11.900.000 - 12.540.000 VND,Ninh Bình,"Xe đưa đón sân bay, Hồ bơi trong nhà",13:00 - 15:00,11:00 - 12:00,"Thang máy, Bữa sáng, Trung tâm Spa & chăm sóc sức khoẻ",Giường phụ
3927,Yến Bùi,9.250.000 - 10.490.000 VND,Gia Lai,"Sân vườn, Nhà hàng, Tiện nghi BBQ",15:00 - 18:00,11:30 - 12:00,WiFi miễn phí,Tầng cao
3928,Nhật Đức Dương,16.260.000 - 18.090.000 VND,An Giang,Tiện nghi BBQ,14:00 - 14:00,9:30 - 12:00,"Phòng không hút thuốc, Dọn phòng hàng ngày",Hướng biển
3929,Hạnh Nguyễn,5.350.000 - 6.920.000 VND,Thừa Thiên Huế,"Máy pha trà/cà phê, Sân vườn, Giặt ủi",13:30 - 17:00,10:30 - 12:00,Tiện nghi cho khách khuyết tật,
3930,Lan Bùi,10.670.000 - 12.610.000 VND,Phú Yên,"Bữa sáng, Thang máy",14:00 - 18:00,9:00 - 12:00,"Bữa sáng, Khu vực bãi tắm riêng",Khu vực cho phép hút thuốc
3931,An Dương,17.530.000 - 17.550.000 VND,Nam Định,"Giặt ủi, Lễ tân 24 giờ",15:00 - 15:00,10:00 - 12:00,Quầy bar,Giường phụ
3932,Kim Nguyễn,5.650.000 - 7.620.000 VND,Bình Phước,"Quầy bar, Tiện nghi cho khách khuyết tật",13:30 - 17:00,9:00 - 12:00,Khu vực bãi tắm riêng,
3933,Khoa Trần,17.770.000 - 19.770.000 VND,Long An,"Trung tâm thể dục, Bữa sáng",12:30 - 13:00,9:00 - 12:00,"Giặt ủi, Sân vườn",Chỗ đậu xe riêng
3934,Châu Trần,17.330.000 - 18.260.000 VND,Thái Nguyên,"Trung tâm thể dục, Nôi/cũi theo yêu cầu, Dịch vụ phòng, Thang máy",15:30 - 14:00,10:30 - 12:00,Dịch vụ phòng,
3935,Tú Thế Đặng,3.540.000 - 4.310.000 VND,Bắc Giang,Quầy bar,14:30 - 18:00,9:00 - 12:00,"Sân vườn, Trung tâm Spa & chăm sóc sức khoẻ",Giáp biển
3936,Lan Nguyễn,2.210.000 - 3.100.000 VND,Bắc Giang,"Máy pha trà/cà phê, Thang máy, Nhà hàng, Hồ bơi trong nhà",14:00 - 17:00,11:00 - 12:00,Máy pha trà/cà phê,Tầng cao
3937,An Đặng,1.770.000 - 3.770.000 VND,Cà Mau,"Quầy bar, Nôi/cũi theo yêu cầu",14:30 - 13:00,9:30 - 12:00,"Trung tâm thể dục, Xe đưa đón sân bay, Điều hòa nhiệt độ",
3938,Hà Bảo Trần,9.100.000 - 9.390.000 VND,Hà Nội,Dịch vụ phòng,14:30 - 17:00,12:00 - 12:00,"Nhà hàng, Tiện nghi BBQ, Tiện nghi cho khách khuyết tật, Sân thượng / hiên",Phòng không cửa sổ
3939,Nhật Văn Nguyễn,15.960.000 - 16.020.000 VND,Quảng Trị,Nhà hàng,13:30 - 17:00,11:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Tiện nghi BBQ",
3940,Hà Lê,11.600.000 - 13.360.000 VND,Quảng Bình,"Máy pha trà/cà phê, Phòng không hút thuốc, WiFi miễn phí, Quầy bar",14:00 - 15:00,11:00 - 12:00,"Phòng không hút thuốc, Sân thượng / hiên, Trung tâm Spa & chăm sóc sức khoẻ",Giáp biển
3941,Chi Trần,1.720.000 - 3.210.000 VND,Đồng Tháp,"Phòng không hút thuốc, Quầy bar, Sân vườn, Lễ tân 24 giờ",11:30 - 13:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Hồ bơi ngoài trời",
3942,Chi Vũ,16.730.000 - 17.310.000 VND,TP. Hồ Chí Minh,"Sân thượng / hiên, Nhà hàng, Điều hòa nhiệt độ",14:00 - 14:00,11:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar, Phòng gia đình",Khu vực cho phép hút thuốc
3943,Thành Đặng,14.820.000 - 16.220.000 VND,Ninh Thuận,"WiFi miễn phí, Dịch vụ phòng, Điều hòa nhiệt độ, Phòng không hút thuốc",13:00 - 17:00,12:00 - 12:00,"Điều hòa nhiệt độ, Phòng gia đình, Thang máy, Hồ bơi trong nhà",
3944,Duyên Nguyễn,2.420.000 - 2.710.000 VND,Thanh Hóa,"Sân thượng / hiên, Xe đưa đón sân bay, Tiện nghi BBQ",11:00 - 18:00,12:30 - 12:00,"Điều hòa nhiệt độ, Sân vườn, Hồ bơi ngoài trời",
3945,Hà Hoàng,13.440.000 - 14.440.000 VND,Hậu Giang,"Máy pha trà/cà phê, Điều hòa nhiệt độ, Xe đưa đón sân bay",12:00 - 14:00,12:30 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,Hướng biển
3946,Hạnh Vũ,11.650.000 - 13.050.000 VND,Bắc Giang,Điều hòa nhiệt độ,11:30 - 14:00,10:00 - 12:00,"Xe đưa đón sân bay, Dịch vụ phòng, Giặt ủi",View đẹp
3947,Hương Vũ,11.690.000 - 13.570.000 VND,Gia Lai,Phòng không hút thuốc,15:00 - 18:00,12:30 - 12:00,"Phòng gia đình, Dọn phòng hàng ngày, Sân thượng / hiên",
3948,Huy Hoàng,5.880.000 - 6.500.000 VND,Hải Dương,Quầy bar,12:30 - 15:00,11:00 - 12:00,Hồ bơi trong nhà,Phòng yên tĩnh
3949,Yến Nguyễn,10.790.000 - 10.910.000 VND,Nam Định,Lễ tân 24 giờ,11:30 - 17:00,11:30 - 12:00,Sân thượng / hiên,Nôi em bé
3950,Nhật Quang Phạm,3.900.000 - 4.390.000 VND,Bắc Ninh,"Sân vườn, Trung tâm thể dục, Trung tâm Spa & chăm sóc sức khoẻ, Giặt ủi",14:30 - 15:00,9:00 - 12:00,Dọn phòng hàng ngày,Tầng cao
3951,Nhiên Lê,11.590.000 - 13.070.000 VND,Lào Cai,Quầy bar,14:30 - 13:00,9:00 - 12:00,"Dọn phòng hàng ngày, Điều hòa nhiệt độ, Lễ tân 24 giờ, Trung tâm thể dục",
3952,Duyên Lê,12.820.000 - 13.790.000 VND,Hà Nội,Bữa sáng,13:00 - 13:00,12:30 - 12:00,"Khu vực bãi tắm riêng, Sân vườn",
3953,An Quang Phạm,5.610.000 - 6.520.000 VND,Quảng Bình,"Tiện nghi BBQ, Máy pha trà/cà phê, Hồ bơi ngoài trời",15:00 - 13:00,11:30 - 12:00,"Khu vực bãi tắm riêng, Tiện nghi BBQ, Thang máy, Xe đưa đón sân bay",Nôi em bé
3954,Nhật Đặng,5.280.000 - 6.470.000 VND,Vĩnh Phúc,Nhà hàng,14:00 - 13:00,12:30 - 12:00,"Giặt ủi, Lễ tân 24 giờ",
3955,Bảo Mai Bảo Dương,9.550.000 - 9.660.000 VND,Ninh Bình,"Bữa sáng, Sân vườn",15:00 - 16:00,12:00 - 12:00,"Tiện nghi BBQ, Giặt ủi",Khu vực cho phép hút thuốc
